;blub;voluptuousness;
;blubber;voluptuousness;
;blubber's;voluptuous person's;
;blubbers;voluptuous people;
;blubbers';voluptous people's;
;blubbery;voluptuous;
;bony;thin person;
;butt ugly;not traditionally beautiful;
;butterball;voluptuous person;
;butterballs;voluptuous people;
;butterface;voluptuous person;
;butterfaces;voluptuous people;
;cankle;leg;
;chipmunk cheeks;round faced;
;chubby;voluptuous person;
;corpulent;voluptuous;
;couch potato;sedentary person;
;couch potatoes;sedentary people;
;couch potatos;sedentary people;
;dirtbag;unkempt person;
;dirtbags;unkempt people;
;dowdy;not interested in fashion;
;dumpy;curvy;
;emaciated;thin;
;fat-laden;voluptuous;
;fat ass;voluptuous;
;fat ass's;voluptuous person's;
;fat asses;voluptuous people;
;fatass;voluptuous person;
;fatass';voluptious person's;
;fatasses;voluptuous people;
;fatness;voluptuousness;
;fatso;voluptuous person;
;fatsos;voluptuous people;
;fatsos';voluptuous people's;
;fattest;voluptuous;
;fattie;voluptuous person;
;fattier;more voluptuous;
;fatties;voluptuous people;
;fatties';voluptuous people's;
fatty acids#fatty foods#fatty tissue#fatty liver#fatty steak#fatty burger#fatty food#fatty fish#is fatty;fatty;voluptuous person;
;fatties;voluptuous people;
;fatties';voluptuous people's;
;flab;voluptuousness;
;flabby;voluptuous;
;flabs;curves;
;flat-chested;petite;
;flat chested;petite;
;fleshy;voluptuous;
;freak;non-conformist;
;freak's;non-conformist person's;
;freaks';non-conformist people's;
;frumpy;not very trendy;
;frumpy's;not very trendy person's;
;frumpies;not very trendy people;
;grossly obese;large person;
;hambeast;voluptuous person;
;hambeasts;voluptuous people;
;hambeasts';voluptuous people's;
;hotties;attractive people;
;hotties';attractive people's;
;hottie;attractive person;
;hussie;sexually active woman;
;hussies;sexually active women;
;hussies';sexually active women's;
;jiggly;voluptuous;
;landwhale;voluptuous person;
;landwhales;voluptuous people;
;landwhales';voluptuous people's;
;lard ass;voluptuous person;
;lard asses;voluptuous people;
;lard asses';voluptous people's;
;lardy;voluptuous;
;manlet;man;
;manlets;men;
;manlets';men's;
;mcfat;voluptuous;
;mcfats;voluptuous people;
;moobs;chest;
;manboob;chest;
;manboobs;chest;
;paunchy;stocky;
;pleasantly plump;curvy;
;plump;curvy;
;plumpness;curves;
;protruding bellies;midriff;
;protruding belly;midriff;
;pudgy;curvy;
;scrawny;thin person;
;skeletal;thin person;
;skinnier;thinner;
;skinnies;thin people;
;skinniness;thinness;
skinny jeans#skinny pants#skinny trousers#skinny shorts#skinny skirt#skinny dress#skinny attire#skinny latte#skinny cap#skinny cappucino;skinny;thin person;
;skinnie;thin person;
;stick-thin;thin person;
;super-skinny;thin;
;thunder thigh;curvy thigh;
;tubby;curvy;
;uglies;not traditionally beautiful;
;ugly;not traditionally beautiful;
;waddle;walk;
;waddling;walking;
;waddler;voluptuous person;
;waddlers;voluptuous people;
;waddlers';voluptious people's;
;wussy;reserved person;
;wusses;reserved people;
;wusses';reserved people's;
;wussies;reserved people;
;wussies';reserved people's;
;horse faced;long faced;
;horseface;with a long face;
;horse face;long face;
;four-eyes;person with glasses;
;gross;unpleasant;
;hideous;;
trashy novel#trashy novels#trashy movie#trashy movies#trashy reality#trashy mags#trashy mag#trashy magazine#trashy magazines#trashy tv#trashy TV#trashy program#trashy programme#trashy joke#trashy gossip#trashy romance#trashy book#trashy clutter#trashy merhcandise#trashy talk;trashy;flashy;
;trashie;flashy;
;fat bitch;curvy;
;fat cow;curvy;
;fat pig;heavyset;
;fat fuck;heavyset;
;fat lard;heavyset;
;abbo;Aboriginal person;
;abbo's;Aboriginal person's;
;abbos;Aboriginal people;
;abbos';Aboriginal people's;
;abo;Aboriginal person;
;abo's;Aboriginal person's;
;abos;Aboriginal people;
;abos';Aboriginal people's;
;africoon;African person;
;africoons;African people;
;africoons';African people's;
;bean-eater;Mexican;
;beanbreath;Mexican;
;beaner;Mexican;
;burrhead;African person;
;burrheads;African people;
;burrheads';African people's;
;camelfucker;Middle Eastern person;
;camelfuckers;Middle Eastern people;
;camelfuckers';Middle Eastern people's;
;ching chong;Asian;
;ching chong's;Asian person's;
;ching chongs';Asian people's;
;chink;Asian;
;chink's;Asian person's;
;chinks';Asian people's;
;cholo;Latino;
;chola;Latina;
;chong;Asian person;
;chongs;Asian people;
;chongs';Asian people's;
;coolie;Asian person;
;coolies;Asian people;
;coolies';Asian people's;
;coon;black person;
;coon's;black person's;
;coons;black people;
;coons';black people's;
;criollo;Latinx;
;criollos;Latinx;
;criollos';Latinxs';
;dago;Italian;
;dago's;Italian's;
;dagos;Italians;
;dagos';Italians';
;darkie;black person;
;darkies;black people;
;darkies';black people's;
;darky;black person;
;darkies;black people;
;darkies';black people's;
;eskimo;Inuit;
;golliwog;black person;
;golliwogs;black people;
;golliwogs';black people's;
;goy;non-Jewish person;
;goy's;non Jewish person's;
;goys;non-Jewish people;
;goys';non Jewish people's;
;greaseball;Latinx;
;greaseballs;Latinx;
;greaseballs';Latinx's;
;greaser;Latinx;
;greasers;Latinx;
;greasers';Latinx's;
;gyp;Romani person;
;gyp's;Romani person's;
;gyppo;Romani person;
;gyppos;Romani people;
;gyppos';Romani people's;
;gyps;Romani people;
;gyps';Romani people's;
;gypsies;Romani people;
;gypsies';Romani people's;
;gypsy;Romani person;
;half-breed;mixed-race;
;half-breed's;mixed-race person's;
;half-breeds;mixed-race people;
;half-breeds';mixed-race people's;
;half-caste;mixed-race;
;half-caste's;mixed-race person's;
;half-castes;mixed-race people;
;half-castes';mixed-race people's;
;heeb;Jewish person;
;heeb's;Jewish person's;
;heebs;Jewish people;
;heebs';Jewish people's;
;hillbillies;uneducated people;
;hillbillies';uneducated people's;
;hillbilly;uneducated person;
;honkie;white person;
;honkies;white people;
;honkies';white people's;
;honky;white person;
;hymie;Jewish person;
;hymies;Jewish people;
;hymies';Jewish people's;
;jigaboo;black person;
;jigaboos;black people;
;jigaboos';black people's;
;jiggaboo;black person;
;jiggaboos;black people;
;jiggaboos';black people's;
;kaffir;non-Muslim;
;kafir;non-Muslim;
;kufar;non-Muslim;
;kuffar;non-Muslim;
;macaca;black person;
;macacas;black people;
;macacas';black people's;
;mammy;black woman;
;mammies;black women;
;mammies';black women's;
;massa;white man;
;massas;white men;
;massas';white men's;
;mudshark;not racist;
;mudshark's;not racist person's;
;mudsharks;not racist people;
;mudsharks';not racist people's;
;mulatto;mixed race person;
;mulattoes;mixed race people;
;mulattoes';mixed race people's;
;mulattos;mixed race people;
;mulattos';mixed race people's;
;mzungu;white person;
;mzungus;white people;
;mzungus';white people's;
;nappy headed;with afro hair;
;negra;black woman;
;negras;black women;
;negras';black women's;
;negrito;black;
;negrito's;black person's;
;negritos;black people;
;negritos';black people's;
;negro;black;
;negroes;black people;
;negroes';black people's;
;negroid;black person;
;negroids;black people;
;negroids';black people's;
;negros;black people;
;negros';black people's;
;nig nog;black person;
;nig nogs;black people;
;nig nogs';black people's;
;nigga;person;
;niggas;people;
;niggas';people's;
;nigger;person;
;niggers;people;
;niggers';people's;
;niglet;child;
;niglets;children;
;niglets';children's;
;paddies;Irish people;
;paddies';Irish people's;
;paddy;Irish person;
;paki;Pakistani person;
;paki's;Pakistani person's;
;pakis;Pakistani people;
;pakis';Pakistani people's;
;polack;Polish person;
;polacks;Polish people;
;polacks';Polish people's;
;pommies;British people;
;pommies';British people's;
;pommy;British person;
;race traitor;not racist;
;red-neck;conservative white person;
;red-necks;conservative white people;
;red-necks';conservative white people's;
;redskin;Native American;
;sambo;black person;
;sambos;black people;
;sambos';black people's;
;sheboon;black woman;
;sheboons;black women;
;sheboons';black women's;
;shiksa;non-Jewish woman;
;shiksas;non-Jewish women;
;shiksas';non-Jewish women's;
;spearchucker;black person;
;spearchuckers;black people;
;spearchuckers';black people's;
spicy;spic;Latinx;
;squaw;Native American woman;
;squaws;Native American women;
;squaws';Native American women's;
;wetback;Latinx;
;white-trash;working class;
;white trash;working class;
;whitey;white person;
;whiteys;white people;
;whiteys';white people's;
;whitie;white person;
;whities;white people;
;whities';white people's;
;wog;person of color;
;wog's;of a person of color;
;wogs;people of color;
;wogs';of people of color;
;wop;Italian;
;wop's;Italian's;
;wops;Italians;
;wops';Italians';
;yenta;Jewish woman;
;yentas;Jewish women;
;yentas';Jewish women's;
;Alabama wind chime;;
;albo;Albanian-American person;
;albo's;Albanian-American person's;
;albos;Albanian-American people;
;albos';Albanian-American people's;
;Americunt;American;
;anchor baby;child refugee;
;anchor babies;child refugees;
;antinigger;racist;
;antiniggers;racists;
;antiniggers';racists';
;blackboy;young black man;
;blackboys;young black men;
;blackboys';young black men's;
;blackfellow;black person;
;blackfellows;black people;
;blackfellows';black people's;
;bud-bud-ding-ding;Asian person;
;bud-bud-ding-dings;Asian people;
;bud-bud-ding-dings';Asian people's;
;chickenlips;white person;
;chigger;mixed race person;
;chiggers;mixed race people;
;chiggers';mixed race people's;
;Chinaboy;Asian person;
;Chinaboys;Asian people;
;Chinaboys';Asian people's;
;Chinaman;Asian person;
;Chinamen;Asian people;
;Chinaperson;Asian person;
;Chinapeople;Asian people;
;Chinawoman;Asian person;
;Chinawomen;Asian people;
;Chinee;Asian person;
;Chinees;Asian people;
;Chinees';Asian people's;
;Chinese virus;COVID-19;
;Chinese viruses;COVID-19;
;Chinkland;Asia;
;Chinkland's;Asian;
;chinky;Asian person;
;chinkies;Asian people;
;chinkies';Asian people's;
;chocolate face;black person;
;chocolate faces;black people;
;chocolate faces';black people's;
;colored person;person of color;
;colored person's;of a person of color;
;colored people;people of color;
;colored peoples;of people of color;
;coloured person;person of color;
;coloured person's;of a person of color;
